!
! NCEPGRIB2.TBL -- GRIB 1 parameter conversion table version 2
!
!ID# NAME                             UNITS                GNAM         SCALE   MISSING
!
!128 MSLP (standard atm reduction)     Pa                   MSLP            -2  -9999.00
!178 Ice mixing ratio                  Kg/Kg                ICMR             0  -9999.00
!179 Graupel mixing ratio              Kg/Kg                GRMR             0  -9999.00
!180 Surface wind gust                 m/s                  GUST             0  -9999.00
!
!181 x-gradient of log pressure        m**-1                DLPDX            0  -9999.00
!182 y-gradient of log pressure        m**-1                DLPDY            0  -9999.00
!183 x-gradient of height              m m**-1              DZDX             0  -9999.00
!184 y-gradient of height              m m**-1              DZDY             0  -9999.00
!185 Turbulence SIGMET/AIRMET          -                    TURB             0  -9999.00
!186 Icing SIGMET/AIRMET               -                    ICNG             0  -9999.00
!187 Lightning                         -                    LTNG             0  -9999.00
!188 Rate of water from canopy to grnd -                    CNGD             0  -9999.00
!189 Virtual potential temperature     K                    THTV             0  -9999.00
190 Storm relative helicity           m**2/s**2            HLCY             0  -9999.00
!
!191 Probability from ensemble         non-dim              PROB             0  -9999.00
!192 Probability from ensemble, nrml   non-dim              PROBN            0  -9999.00
!193 Probability of precip             %                    POP              0  -9999.00
!194 Probability of precip, frozen     %                    POPZ             0  -9999.00
!195 Probability of precip, freezing   %                    POPF             0  -9999.00
!196 U-component of storm motion       m/s                  USTRM            0  -9999.00
!197 V-component of storm motion       m/s                  VSTRM            0  -9999.00
!198 Number conc for ice particles     -                    NCIP             0  -9999.00
!199 Direct evaporation from bare soil W m**-2              EVBS             0  -9999.00
!200 Canopy water evaporation          W m**-2              EVCW             0  -9999.00
!
201 Ice-free water surface            %                    IFWS             0  -9999.00
!202 Convective weather detection indx -                    CWDI             0  -9999.00
203 Volcanic Ash / VAFTAD             -                    VASH             0  -9999.00
204 Downward short wave rad flux      W m**-2              SWRD             0  -9999.00
205 Downward long wave rad flux       W m**-2              LWRD             0  -9999.00
206 Ultraviolet index (UVI)           J/m**2               UVIN             0  -9999.00
207 Moisture availability             %                    MSAV             0  -9999.00
208 Exchange coefficient              kg m**-3 m s**-1     SEXC             0  -9999.00
209 No of mixed layers next to sfc    -                    NMXL             0  -9999.00
!210 Transpiration                     W m**-2              TRAN             0  -9999.00
!
211 Upward short wave rad flux        W m**-2              SWRU             0  -9999.00
212 Upward long wave rad flux         W m**-2              LWRU             0  -9999.00
213 Amt of non-convective cloud       %                    CLDA             0  -9999.00
!214 Convective precip rate            kg m**-2 s**-1       CPR--            0  -9999.00
!215 Temp tendency by all physics      K s**-1              DTAP             0  -9999.00
216 Temp tendency by all radiation    K s**-1              DTAR             0  -9999.00
!217 Temp tendency by non-rad physics  K s**-1              DTNRP            0  -9999.00
!218 Precip index (0.0-1.0)            -                    PINDX            0  -9999.00
!219 Std dev of IR T over 1x1 area     K                    IRTSD            0  -9999.00
!220 Natural log of surface press      ln(kPa)              LNPSFC           0  -9999.00
!
!221 Planetary boundary layer hght     m                    ZPBL             0  -9999.00
!222 5-wave geopotential height        gpm                  HGHT5            0  -9999.00
!223 Plant canopy surface water        kg m**-2             CSH2O            0  -9999.00
!224 Soil type (Zobler)                -                    SOTYP            0  -9999.00
!225 Vegetation type (SiB)             -                    VGTYP            0  -9999.00
!226 Blackadar's mixing length         m                    LBLACK           0  -9999.00
!227 Asymptotic mixing length          m                    LASYMP           0  -9999.00
!228 Potential evaporation             kg m**-2             PEVAP            0  -9999.00
229 Snow phase-change heat flux       W m**-2              FXSN             0  -9999.00
!230 5-wave geopotention hght anomaly  gpm                  WAVA5            0  -9999.00
!
!231 Convective cloud mass flux        Pa s**-1             CMFX             0  -9999.00
!232 Downward total radiation flux     W m**-2              DNRFX            0  -9999.00
!233 Upward total radiation flux       W m**-2              UPRFX            0  -9999.00
234 Baseflow-groundwater runoff       kg m**-2             BFGR             0  -9999.00
235 Storm surface runoff              kg m**-2             R--M             0  -9999.00
!236 Supercooled large drop icig diag  -                    SIPD             0  -9999.00                  
!237 Total Ozone                       kg/m**2              OZON             0  -9999.00
!238 Snow cover                        %                    SCVR             0  -9999.00
!239 Snow temperature                  K                    STMP             0  -9999.00
!240 Covariance btw tmp and vert wind  Km/s                 COVTW            0  -9999.00
!
241 Large scale condensat heat rate   K s**-1              LSCHDT           0  -9999.00
242 Deep convective heating rate      K s**-1              DCHDT            0  -9999.00
!243 Deep convective moistening rate   kg kg**-1 s**-1      DCQDT            0  -9999.00
!244 Shallow convec heating rate       K s**-1              SCHDT            0  -9999.00
!245 Shallow convec moistening rate    kg kg**-1 s**-1      SCQDT            0  -9999.00
!246 Vertical diff heating rate        K s**-1              VDFHDT           0  -9999.00
!247 Vertical diff zonal accel         m s**-2              VDFZAC           0  -9999.00
!248 Vertical diff meridional accel    m s**-2              VDFMAC           0  -9999.00
!249 Vertical diff moistening rate     kg kg**-1 s**-1      VDFQDT           0  -9999.00
250 Solar radiative heating rate      K s**-1              DTSW             0  -9999.00
!
251 Longwave radiative heating rate   K s**-1              DTLW             0  -9999.00
!252 Drag coefficient                  -                    DRAG             0  -9999.00
!253 Friction velocity                 m s**-1              FRCV             0  -9999.00
254 Richardson number                 -                    RICH             0  -9999.00
255 Missing                           -                    MISS             0  -9999.00
